stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage1_coarse,500,0.7,0.1,0.01,100.0,0.538,0.4953205791779398,0.5343331895756626
stage1_coarse,500,0.7,0.1,0.02,1e-10,0.5195,0.4731846073194177,0.4973720509353544
stage1_coarse,500,0.7,0.1,0.02,1e-09,0.5195,0.4731846073194177,0.4973720509353544
stage1_coarse,500,0.7,0.1,0.02,1e-08,0.5195,0.4731846073194177,0.4973720509353544
stage1_coarse,500,0.7,0.1,0.02,1e-07,0.5195,0.4731846073194177,0.4973720509353544
stage1_coarse,500,0.7,0.1,0.02,1e-06,0.5195,0.4731846073194177,0.4973720509353544
stage1_coarse,500,0.7,0.1,0.02,1e-05,0.5195,0.4731846073194177,0.4973720509353544
stage1_coarse,500,0.7,0.1,0.02,0.0001,0.5205,0.4743953700609482,0.4983912146984206
stage1_coarse,500,0.7,0.1,0.02,0.001,0.5255,0.47962294270740297,0.5021583785814665
stage1_coarse,500,0.7,0.1,0.02,0.01,0.5345,0.4840409094230277,0.5106641015901506
stage1_coarse,500,0.7,0.1,0.02,0.1,0.531,0.47789266242239165,0.5079339823480473
stage1_coarse,500,0.7,0.1,0.02,1.0,0.536,0.4873062562857694,0.5236433305078527
stage1_coarse,500,0.7,0.1,0.02,10.0,0.5355,0.49333071253245475,0.5290683238454789
stage1_coarse,500,0.7,0.1,0.02,100.0,0.5395,0.49842451873076515,0.536521440456147
stage1_coarse,500,0.7,0.1,0.05,1e-10,0.53,0.48179420356297814,0.5043933841944377
stage1_coarse,500,0.7,0.1,0.05,1e-09,0.53,0.48179420356297814,0.5043933841944377
stage1_coarse,500,0.7,0.1,0.05,1e-08,0.53,0.48179420356297814,0.5043933841944377
stage1_coarse,500,0.7,0.1,0.05,1e-07,0.53,0.48179420356297814,0.5043933841944377
stage1_coarse,500,0.7,0.1,0.05,1e-06,0.53,0.48179420356297814,0.5043933841944377
stage1_coarse,500,0.7,0.1,0.05,1e-05,0.53,0.48179420356297814,0.5043933841944377
stage1_coarse,500,0.7,0.1,0.05,0.0001,0.53,0.4817740826891817,0.5043933841944377
stage1_coarse,500,0.7,0.1,0.05,0.001,0.5305,0.4820036181066841,0.5046572364371816
stage1_coarse,500,0.7,0.1,0.05,0.01,0.532,0.4823635706644976,0.5057553681241945
stage1_coarse,500,0.7,0.1,0.05,0.1,0.535,0.48585670129216646,0.5099393971665639
stage1_coarse,500,0.7,0.1,0.05,1.0,0.5415,0.4952988578120605,0.5227466762083613
stage1_coarse,500,0.7,0.1,0.05,10.0,0.541,0.49797010113085055,0.5298000003475002
stage1_coarse,500,0.7,0.1,0.05,100.0,0.5375,0.5000639622349559,0.5343442835531798
stage1_coarse,500,0.7,0.1,0.1,1e-10,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,1e-09,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,1e-08,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,1e-07,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,1e-06,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,1e-05,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,0.0001,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,0.001,0.5455,0.5022756377961575,0.5264272292863417
stage1_coarse,500,0.7,0.1,0.1,0.01,0.5465,0.5047683863167103,0.5287040150006274
stage1_coarse,500,0.7,0.1,0.1,0.1,0.5445,0.5060594706767946,0.5309424349917826
stage1_coarse,500,0.7,0.1,0.1,1.0,0.5505,0.5158232429660287,0.5428373610731064
stage1_coarse,500,0.7,0.1,0.1,10.0,0.553,0.5179013804228143,0.5430939750327258
stage1_coarse,500,0.7,0.1,0.1,100.0,0.543,0.5095626168607572,0.5402406401196066
stage1_coarse,500,0.7,0.15,0.01,1e-10,0.5295,0.4706270457993254,0.49860874346290557
stage1_coarse,500,0.7,0.15,0.01,1e-09,0.529,0.4703769096277116,0.4983683588475209
stage1_coarse,500,0.7,0.15,0.01,1e-08,0.53,0.4708769347330368,0.49884912807829007
stage1_coarse,500,0.7,0.15,0.01,1e-07,0.5305,0.4713655991162723,0.4991364479483936
stage1_coarse,500,0.7,0.15,0.01,1e-06,0.531,0.47158269564414707,0.4993768325637783
stage1_coarse,500,0.7,0.15,0.01,1e-05,0.53,0.471324484050683,0.49948593644536166
stage1_coarse,500,0.7,0.15,0.01,0.0001,0.5305,0.4727888071178123,0.5016691334885481
stage1_coarse,500,0.7,0.15,0.01,0.001,0.5255,0.46835895605311234,0.49934074821150015
stage1_coarse,500,0.7,0.15,0.01,0.01,0.5295,0.4731986719074664,0.502789158308629
stage1_coarse,500,0.7,0.15,0.01,0.1,0.5265,0.47411077236246485,0.5036332036045104
stage1_coarse,500,0.7,0.15,0.01,1.0,0.5275,0.47521899011640995,0.507010222289646
stage1_coarse,500,0.7,0.15,0.01,10.0,0.529,0.48307719173143726,0.5180056418352902
stage1_coarse,500,0.7,0.15,0.01,100.0,0.5295,0.48514778029857464,0.5245188807050865
stage1_coarse,500,0.7,0.15,0.02,1e-10,0.524,0.46830704326540806,0.49836891894059177
stage1_coarse,500,0.7,0.15,0.02,1e-09,0.524,0.46830704326540806,0.49836891894059177
stage1_coarse,500,0.7,0.15,0.02,1e-08,0.524,0.46830704326540806,0.49836891894059177
stage1_coarse,500,0.7,0.15,0.02,1e-07,0.524,0.46830704326540806,0.49836891894059177
stage1_coarse,500,0.7,0.15,0.02,1e-06,0.5235,0.4673402682302066,0.4974917259581356
stage1_coarse,500,0.7,0.15,0.02,1e-05,0.5235,0.4673402682302066,0.4974917259581356
stage1_coarse,500,0.7,0.15,0.02,0.0001,0.5245,0.4679338120608727,0.4980369886223007
stage1_coarse,500,0.7,0.15,0.02,0.001,0.5295,0.4738170919924557,0.5044118324556175
stage1_coarse,500,0.7,0.15,0.02,0.01,0.532,0.47067317078278287,0.5029390952482983
stage1_coarse,500,0.7,0.15,0.02,0.1,0.5365,0.48248279018843754,0.5120519477177957
stage1_coarse,500,0.7,0.15,0.02,1.0,0.534,0.4821173422650885,0.5131239700564881
stage1_coarse,500,0.7,0.15,0.02,10.0,0.5345,0.48951047520924373,0.5220181479985758
stage1_coarse,500,0.7,0.15,0.02,100.0,0.529,0.4861974207729718,0.5226623370746266
stage1_coarse,500,0.7,0.15,0.05,1e-10,0.5325,0.4853532996900108,0.5187123953565717
stage1_coarse,500,0.7,0.15,0.05,1e-09,0.5325,0.4853532996900108,0.5187123953565717
stage1_coarse,500,0.7,0.15,0.05,1e-08,0.5325,0.4853532996900108,0.5187123953565717
stage1_coarse,500,0.7,0.15,0.05,1e-07,0.5325,0.4853532996900108,0.5187123953565717
stage1_coarse,500,0.7,0.15,0.05,1e-06,0.5325,0.4853532996900108,0.5187123953565717
stage1_coarse,500,0.7,0.15,0.05,1e-05,0.5325,0.4853532996900108,0.5187123953565717
stage1_coarse,500,0.7,0.15,0.05,0.0001,0.5325,0.4853532996900108,0.5187123953565717
stage1_coarse,500,0.7,0.15,0.05,0.001,0.5315,0.48371153106378983,0.516367637246803
stage1_coarse,500,0.7,0.15,0.05,0.01,0.5375,0.48891370472076934,0.5234602069045456
stage1_coarse,500,0.7,0.15,0.05,0.1,0.545,0.5007289045680962,0.5334775136525925
stage1_coarse,500,0.7,0.15,0.05,1.0,0.5435,0.5017305151195367,0.5316843254505024
stage1_coarse,500,0.7,0.15,0.05,10.0,0.5435,0.5036473346551307,0.5345524373426108
stage1_coarse,500,0.7,0.15,0.05,100.0,0.5345,0.4943543060014708,0.5259624873735629
stage1_coarse,500,0.7,0.15,0.1,1e-10,0.5185,0.4777052487529711,0.5055133435181272
stage1_coarse,500,0.7,0.15,0.1,1e-09,0.5185,0.4777052487529711,0.5055133435181272
stage1_coarse,500,0.7,0.15,0.1,1e-08,0.5185,0.4777052487529711,0.5055133435181272
stage1_coarse,500,0.7,0.15,0.1,1e-07,0.5185,0.4777052487529711,0.5055133435181272
stage1_coarse,500,0.7,0.15,0.1,1e-06,0.5185,0.4777052487529711,0.5055133435181272
stage1_coarse,500,0.7,0.15,0.1,1e-05,0.5185,0.4777052487529711,0.5055133435181272
stage1_coarse,500,0.7,0.15,0.1,0.0001,0.5185,0.4777052487529711,0.5055133435181272
stage1_coarse,500,0.7,0.15,0.1,0.001,0.5195,0.4798532795104552,0.5073396957608711
stage1_coarse,500,0.7,0.15,0.1,0.01,0.5195,0.4808117381030873,0.5086650328375797
stage1_coarse,500,0.7,0.15,0.1,0.1,0.525,0.48370507384357353,0.5130103003621962
stage1_coarse,500,0.7,0.15,0.1,1.0,0.548,0.5082971266478958,0.5390153518007855
stage1_coarse,500,0.7,0.15,0.1,10.0,0.539,0.5027315875021192,0.5287110501250003
stage1_coarse,500,0.7,0.15,0.1,100.0,0.5345,0.5004881385834294,0.5318282048582686
stage1_coarse,500,0.7,0.3,0.01,1e-10,0.5135,0.45698655753115,0.47921086185984346
stage1_coarse,500,0.7,0.3,0.01,1e-09,0.5135,0.45698655753115,0.47921086185984346
stage1_coarse,500,0.7,0.3,0.01,1e-08,0.5135,0.45698655753115,0.47921086185984346
stage1_coarse,500,0.7,0.3,0.01,1e-07,0.5145,0.45794956983603086,0.4804270950549684
stage1_coarse,500,0.7,0.3,0.01,1e-06,0.514,0.457682749626768,0.4801632428122244
stage1_coarse,500,0.7,0.3,0.01,1e-05,0.514,0.4576580662543657,0.4801632428122244
stage1_coarse,500,0.7,0.3,0.01,0.0001,0.5145,0.4581889263898285,0.48119400856838446
stage1_coarse,500,0.7,0.3,0.01,0.001,0.5145,0.46149468987810727,0.4815395401260217
stage1_coarse,500,0.7,0.3,0.01,0.01,0.526,0.4739936044345711,0.4958875551247699
stage1_coarse,500,0.7,0.3,0.01,0.1,0.527,0.4735045773248935,0.49644023125434444
stage1_coarse,500,0.7,0.3,0.01,1.0,0.5285,0.4758988477666085,0.5013560773284969
stage1_coarse,500,0.7,0.3,0.01,10.0,0.531,0.48315495787626095,0.5131303877831698
stage1_coarse,500,0.7,0.3,0.01,100.0,0.527,0.478847920272075,0.5109629153890743
stage1_coarse,500,0.7,0.3,0.02,1e-10,0.5275,0.4782339466492321,0.5008635368706045
stage1_coarse,500,0.7,0.3,0.02,1e-09,0.5275,0.4782339466492321,0.5008635368706045
stage1_coarse,500,0.7,0.3,0.02,1e-08,0.5275,0.4782339466492321,0.5008635368706045
stage1_coarse,500,0.7,0.3,0.02,1e-07,0.5275,0.4782339466492321,0.5008635368706045
stage1_coarse,500,0.7,0.3,0.02,1e-06,0.5275,0.4782339466492321,0.5008635368706045
stage1_coarse,500,0.7,0.3,0.02,1e-05,0.527,0.4776865661600942,0.5006231522552198
stage1_coarse,500,0.7,0.3,0.02,0.0001,0.5285,0.4793567257298096,0.502638193629022
stage1_coarse,500,0.7,0.3,0.02,0.001,0.5295,0.4807511665554636,0.5035411463411925
stage1_coarse,500,0.7,0.3,0.02,0.01,0.5315,0.4741423417686702,0.4965151293570518
stage1_coarse,500,0.7,0.3,0.02,0.1,0.5305,0.4750277579073899,0.49839175370682104
stage1_coarse,500,0.7,0.3,0.02,1.0,0.537,0.4894466953337192,0.5135527647598306
stage1_coarse,500,0.7,0.3,0.02,10.0,0.531,0.48530069737030945,0.5120401605522501
stage1_coarse,500,0.7,0.3,0.02,100.0,0.5265,0.4785295943678284,0.5103679822790609
stage1_coarse,500,0.7,0.3,0.05,1e-10,0.5275,0.48315721254771093,0.505750326773448
stage1_coarse,500,0.7,0.3,0.05,1e-09,0.5275,0.48315721254771093,0.505750326773448
stage1_coarse,500,0.7,0.3,0.05,1e-08,0.5275,0.48315721254771093,0.505750326773448
stage1_coarse,500,0.7,0.3,0.05,1e-07,0.5275,0.48315721254771093,0.505750326773448
stage1_coarse,500,0.7,0.3,0.05,1e-06,0.5275,0.48315721254771093,0.505750326773448
stage1_coarse,500,0.7,0.3,0.05,1e-05,0.5275,0.48315721254771093,0.505750326773448
stage1_coarse,500,0.7,0.3,0.05,0.0001,0.5275,0.4831843970448215,0.505750326773448
stage1_coarse,500,0.7,0.3,0.05,0.001,0.5275,0.48330003011097294,0.5058252574733787
stage1_coarse,500,0.7,0.3,0.05,0.01,0.533,0.48926685990456625,0.5127310939321201
stage1_coarse,500,0.7,0.3,0.05,0.1,0.5405,0.4920919533002774,0.5133929214056916
stage1_coarse,500,0.7,0.3,0.05,1.0,0.546,0.5000220126783759,0.5251930530848675
stage1_coarse,500,0.7,0.3,0.05,10.0,0.5345,0.48965371746137276,0.5170689874211245
stage1_coarse,500,0.7,0.3,0.05,100.0,0.532,0.48555508653729607,0.5155682228950841
stage1_coarse,500,0.7,0.3,0.1,1e-10,0.508,0.4609550845253151,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,1e-09,0.508,0.4609550845253151,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,1e-08,0.508,0.4609550845253151,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,1e-07,0.508,0.4609550845253151,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,1e-06,0.508,0.4609550845253151,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,1e-05,0.508,0.4609550845253151,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,0.0001,0.508,0.4609550845253151,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,0.001,0.508,0.46097189422219237,0.4814892951001948
stage1_coarse,500,0.7,0.3,0.1,0.01,0.509,0.46130747319332965,0.4813564663212578
stage1_coarse,500,0.7,0.3,0.1,0.1,0.5195,0.4734271054778637,0.4942683291267551
stage1_coarse,500,0.7,0.3,0.1,1.0,0.5345,0.49712637849369445,0.5191910983425178
stage1_coarse,500,0.7,0.3,0.1,10.0,0.544,0.5140192743827721,0.5358919638986569
stage1_coarse,500,0.7,0.3,0.1,100.0,0.531,0.491412611976917,0.5226019210952526
stage1_coarse,500,0.8,0.05,0.01,1e-10,0.516,0.4594770263617847,0.4804272609112813
stage1_coarse,500,0.8,0.05,0.01,1e-09,0.516,0.4594770263617847,0.4804272609112813
stage1_coarse,500,0.8,0.05,0.01,1e-08,0.516,0.45950613186253253,0.4804272609112813
stage1_coarse,500,0.8,0.05,0.01,1e-07,0.516,0.4594770263617847,0.4804272609112813
stage1_coarse,500,0.8,0.05,0.01,1e-06,0.5165,0.46046130152948594,0.4817786122626327
stage1_coarse,500,0.8,0.05,0.01,1e-05,0.5165,0.4599263844383625,0.48073213896006184
stage1_coarse,500,0.8,0.05,0.01,0.0001,0.518,0.46145817457317156,0.4821135688006466
stage1_coarse,500,0.8,0.05,0.01,0.001,0.5275,0.467889876580294,0.4895173942560162
stage1_coarse,500,0.8,0.05,0.01,0.01,0.5355,0.4777802398398391,0.5060533752524876
stage1_coarse,500,0.8,0.05,0.01,0.1,0.525,0.46445794689796216,0.49146116695388625
stage1_coarse,500,0.8,0.05,0.01,1.0,0.5265,0.4722623972384075,0.5029540642220087
stage1_coarse,500,0.8,0.05,0.01,10.0,0.5205,0.47009554714838664,0.5014684338807112
stage1_coarse,500,0.8,0.05,0.01,100.0,0.5325,0.49270373005034795,0.5343840417593756
stage1_coarse,500,0.8,0.05,0.02,1e-10,0.527,0.4682401838064254,0.48970986144704653
stage1_coarse,500,0.8,0.05,0.02,1e-09,0.527,0.4682401838064254,0.48970986144704653
stage1_coarse,500,0.8,0.05,0.02,1e-08,0.527,0.4682401838064254,0.48970986144704653
stage1_coarse,500,0.8,0.05,0.02,1e-07,0.527,0.4682401838064254,0.48970986144704653
stage1_coarse,500,0.8,0.05,0.02,1e-06,0.527,0.4682401838064254,0.48970986144704653
stage1_coarse,500,0.8,0.05,0.02,1e-05,0.527,0.4681279812536931,0.48970986144704653
stage1_coarse,500,0.8,0.05,0.02,0.0001,0.527,0.46782238400084974,0.48919246368979064
stage1_coarse,500,0.8,0.05,0.02,0.001,0.5305,0.4734168696735154,0.4951302240207813
