stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage2_size,500,0.99,0.05,0.3,1e-09,0.514,0.47071762793980215,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,1e-08,0.514,0.47071762793980215,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,1e-07,0.514,0.47071762793980215,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,1e-06,0.514,0.47071762793980215,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,1e-05,0.514,0.47071762793980215,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,0.0001,0.514,0.47071762793980215,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,0.001,0.514,0.47071762793980215,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,0.01,0.514,0.4707152804193262,0.4842310807564553
stage2_size,500,0.99,0.05,0.3,0.1,0.5175,0.4722707788255766,0.4852505842065368
stage2_size,500,0.99,0.05,0.3,1.0,0.527,0.48122490901833614,0.4960143239850094
stage2_size,500,0.99,0.05,0.3,10.0,0.5425,0.5072352239089921,0.5284397735761035
stage2_size,500,0.99,0.05,0.3,100.0,0.5445,0.5258640109367476,0.5690326314423456
stage2_size,700,0.99,0.05,0.3,1e-10,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,1e-09,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,1e-08,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,1e-07,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,1e-06,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,1e-05,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,0.0001,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,0.001,0.475,0.4210447477322544,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,0.01,0.475,0.42114037010877226,0.43687827662223155
stage2_size,700,0.99,0.05,0.3,0.1,0.4805,0.42571440682793915,0.4414738244982049
stage2_size,700,0.99,0.05,0.3,1.0,0.5085,0.45564219939748957,0.4751212125530273
stage2_size,700,0.99,0.05,0.3,10.0,0.5765,0.5420080279263166,0.5737164331723221
stage2_size,700,0.99,0.05,0.3,100.0,0.584,0.5564628031796091,0.597888932153017
stage2_size,1000,0.99,0.05,0.3,1e-10,0.3785,0.3166267987694564,0.3214571678106172
stage2_size,1000,0.99,0.05,0.3,1e-09,0.3785,0.3166267987694564,0.3214571678106172
stage2_size,1000,0.99,0.05,0.3,1e-08,0.3785,0.3166267987694564,0.3214571678106172
stage2_size,1000,0.99,0.05,0.3,1e-07,0.3785,0.3166267987694564,0.3214571678106172
stage2_size,1000,0.99,0.05,0.3,1e-06,0.3785,0.3166267987694564,0.3214571678106172
stage2_size,1000,0.99,0.05,0.3,1e-05,0.3785,0.3166267987694564,0.3214571678106172
stage2_size,1000,0.99,0.05,0.3,0.0001,0.3785,0.3166267987694564,0.3214571678106172
stage2_size,1000,0.99,0.05,0.3,0.001,0.378,0.31627493255978345,0.3211522897618367
stage2_size,1000,0.99,0.05,0.3,0.01,0.383,0.3215944299063279,0.32623117061854295
stage2_size,1000,0.99,0.05,0.3,0.1,0.4115,0.34877337766778604,0.35761023437180006
stage2_size,1000,0.99,0.05,0.3,1.0,0.4715,0.4128793593505226,0.4203689465457023
stage2_size,1000,0.99,0.05,0.3,10.0,0.549,0.507063826611189,0.5155003501427243
stage2_size,1000,0.99,0.05,0.3,100.0,0.586,0.5555195154704596,0.5777563432246741
stage2_size,200,0.8,0.1,0.1,1e-10,0.5175,0.48686678939131767,0.5292398580672028
