stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage1_boundary,500,0.99,0.3,0.3,100.0,0.5235,0.48946995325615095,0.5157052983603783
stage1_boundary,500,0.99,0.3,0.5,1e-10,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,1e-09,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,1e-08,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,1e-07,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,1e-06,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,1e-05,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,0.0001,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,0.001,0.463,0.4132283953351208,0.42398753480493695
stage1_boundary,500,0.99,0.3,0.5,0.01,0.463,0.41307449884208747,0.4240285606109733
stage1_boundary,500,0.99,0.3,0.5,0.1,0.464,0.4145420098342357,0.42537423492539767
stage1_boundary,500,0.99,0.3,0.5,1.0,0.468,0.4184084216832161,0.43154833330063536
stage1_boundary,500,0.99,0.3,0.5,10.0,0.4925,0.45085046348039126,0.46996591777409025
stage1_boundary,500,0.99,0.3,0.5,100.0,0.5115,0.46631919417513606,0.48978204089190747
stage1_boundary,500,0.7,0.1,0.2,1e-10,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,1e-09,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,1e-08,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,1e-07,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,1e-06,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,1e-05,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,0.0001,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,0.001,0.527,0.4919433148389283,0.5064489783874615
stage1_boundary,500,0.7,0.1,0.2,0.01,0.5275,0.4928060694278412,0.5073261713699176
stage1_boundary,500,0.7,0.1,0.2,0.1,0.528,0.49231992161077154,0.5072555466470872
stage1_boundary,500,0.7,0.1,0.2,1.0,0.5355,0.5035673607108031,0.5210358835768945
stage1_boundary,500,0.7,0.1,0.2,10.0,0.542,0.5108094288077005,0.5269043334304214
stage1_boundary,500,0.7,0.1,0.2,100.0,0.5405,0.5123103527237125,0.5407767597792834
stage1_boundary,500,0.7,0.1,0.3,1e-10,0.5205,0.4838702571808062,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,1e-09,0.5205,0.4838702571808062,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,1e-08,0.5205,0.4838702571808062,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,1e-07,0.5205,0.4838702571808062,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,1e-06,0.5205,0.4838702571808062,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,1e-05,0.5205,0.4838702571808062,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,0.0001,0.5205,0.4838702571808062,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,0.001,0.5205,0.48376471154080675,0.4994744173444646
stage1_boundary,500,0.7,0.1,0.3,0.01,0.52,0.48261805692001863,0.4981230659931133
stage1_boundary,500,0.7,0.1,0.3,0.1,0.521,0.48356790827959595,0.4988247694387192
stage1_boundary,500,0.7,0.1,0.3,1.0,0.528,0.49137672602513005,0.5077405045501125
stage1_boundary,500,0.7,0.1,0.3,10.0,0.5415,0.5090252113939948,0.5269771641130452
stage1_boundary,500,0.7,0.1,0.3,100.0,0.5405,0.5145419293693282,0.541312382843968
stage1_boundary,500,0.7,0.1,0.5,1e-10,0.5045,0.4498168482643522,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,1e-09,0.5045,0.4498168482643522,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,1e-08,0.5045,0.4498168482643522,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,1e-07,0.5045,0.4498168482643522,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,1e-06,0.5045,0.4498168482643522,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,1e-05,0.5045,0.4498168482643522,0.4652963784600789
