stage,units,sr,lr,input_scaling,alpha,val_acc,val_macro_f1,val_balanced_acc
stage1_coarse,500,0.99,0.1,0.05,100.0,0.5345,0.5010370755966576,0.5397491034866047
stage1_coarse,500,0.99,0.1,0.1,100.0,0.5515,0.5153453645744748,0.5540834219261314
stage1_coarse,500,0.99,0.15,0.01,100.0,0.5265,0.4905618536806339,0.5286111481595626
stage1_coarse,500,0.99,0.15,0.02,100.0,0.5315,0.49688922080484244,0.5340575317815363
stage1_coarse,500,0.99,0.15,0.05,100.0,0.5435,0.5075355806524604,0.5414251363722917
stage1_coarse,500,0.99,0.15,0.1,100.0,0.5415,0.507769585900782,0.5459097103888139
stage1_coarse,500,0.99,0.3,0.01,100.0,0.5455,0.5076816821944135,0.5387680153084189
stage1_coarse,500,0.99,0.3,0.02,100.0,0.5415,0.5051341435116189,0.538866994913435
stage1_coarse,500,0.99,0.3,0.05,100.0,0.538,0.5034077207246813,0.5380765873228578
stage1_coarse,500,0.99,0.3,0.1,10.0,0.548,0.5188825898167368,0.5457185087990144
